subject,gender,age,education,income,dummyconf,dummyxprob,dummyyprob,trialn,vignette,conf,xprob,yprob,datetime
61y535yz5ox,woman,35,16,60to80k,4,95,5,4,L10,0,50,50,2021-12-13 21:10:24.437778
61y535yz5ox,woman,35,16,60to80k,4,95,5,5,G11,4,50,50,2021-12-13 21:10:24.437778
61y535yz5ox,woman,35,16,60to80k,4,95,5,6,G2,2,49,51,2021-12-13 21:10:24.437778
61y535yz5ox,woman,35,16,60to80k,4,95,5,7,L1,1,50,50,2021-12-13 21:10:24.437778
61y535yz5ox,woman,35,16,60to80k,4,95,5,8,L11,2,45,55,2021-12-13 21:10:24.437778
61y535yz5ox,woman,35,16,60to80k,4,95,5,9,G9,1,50,50,2021-12-13 21:10:24.437778
61y535yz5ox,woman,35,16,60to80k,4,95,5,10,G5,1,50,50,2021-12-13 21:10:24.437778
l1am35yzw2f,man,29,16,60to80k,4,100,0,1,G9,3,54,46,2021-12-13 21:06:15.028247
l1am35yzw2f,man,29,16,60to80k,4,100,0,2,G5,2,38,62,2021-12-13 21:06:15.028247
l1am35yzw2f,man,29,16,60to80k,4,100,0,3,L10,3,49,51,2021-12-13 21:06:15.028247
l1am35yzw2f,man,29,16,60to80k,4,100,0,4,L2,3,25,75,2021-12-13 21:06:15.028247
l1am35yzw2f,man,29,16,60to80k,4,100,0,5,L1,4,50,50,2021-12-13 21:06:15.028247
l1am35yzw2f,man,29,16,60to80k,4,100,0,6,L11,2,41,59,2021-12-13 21:06:15.028247
l1am35yzw2f,man,29,16,60to80k,4,100,0,7,G11,3,26,74,2021-12-13 21:06:15.028247
l1am35yzw2f,man,29,16,60to80k,4,100,0,8,G2,3,57,43,2021-12-13 21:06:15.028247
l1am35yzw2f,man,29,16,60to80k,4,100,0,9,G1,4,50,50,2021-12-13 21:06:15.028247
l1am35yzw2f,man,29,16,60to80k,4,100,0,10,L5,3,28,72,2021-12-13 21:06:15.028247
rac235yzkyo,man,25,14,<20k,3,80,20,1,L5,0,50,50,2021-12-13 21:06:24.756871
rac235yzkyo,man,25,14,<20k,3,80,20,2,G9,0,50,50,2021-12-13 21:06:24.756871
rac235yzkyo,man,25,14,<20k,3,80,20,3,G11,0,50,50,2021-12-13 21:06:24.756871
rac235yzkyo,man,25,14,<20k,3,80,20,4,G1,1,5,95,2021-12-13 21:06:24.756871
rac235yzkyo,man,25,14,<20k,3,80,20,5,G5,0,50,50,2021-12-13 21:06:24.756871
rac235yzkyo,man,25,14,<20k,3,80,20,6,G2,0,50,50,2021-12-13 21:06:24.756871
rac235yzkyo,man,25,14,<20k,3,80,20,7,L10,0,50,50,2021-12-13 21:06:24.756871
rac235yzkyo,man,25,14,<20k,3,80,20,8,L11,2,75,25,2021-12-13 21:06:24.756871
rac235yzkyo,man,25,14,<20k,3,80,20,9,L1,1,80,20,2021-12-13 21:06:24.756871
rac235yzkyo,man,25,14,<20k,3,80,20,10,L2,0,50,50,2021-12-13 21:06:24.756871
pcxh35yzq6x,man,57,16,80to100k,4,90,10,1,G2,2,50,50,2021-12-13 21:44:24.572902
pcxh35yzq6x,man,57,16,80to100k,4,90,10,2,L1,0,50,50,2021-12-13 21:44:24.572902
pcxh35yzq6x,man,57,16,80to100k,4,90,10,3,G5,0,50,50,2021-12-13 21:44:24.572902
pcxh35yzq6x,man,57,16,80to100k,4,90,10,4,L11,2,30,70,2021-12-13 21:44:24.572902
pcxh35yzq6x,man,57,16,80to100k,4,90,10,5,L10,1,40,60,2021-12-13 21:44:24.572902
pcxh35yzq6x,man,57,16,80to100k,4,90,10,6,G1,0,50,50,2021-12-13 21:44:24.572902
pcxh35yzq6x,man,57,16,80to100k,4,90,10,7,L2,2,39,61,2021-12-13 21:44:24.572902
pcxh35yzq6x,man,57,16,80to100k,4,90,10,8,L5,0,50,50,2021-12-13 21:44:24.572902
pcxh35yzq6x,man,57,16,80to100k,4,90,10,9,G9,0,50,50,2021-12-13 21:44:24.572902
pcxh35yzq6x,man,57,16,80to100k,4,90,10,10,G11,3,50,50,2021-12-13 21:44:24.572902
w2fr35yzivo,woman,44,16,>100k,4,90,10,1,L5,4,50,50,2021-12-13 21:47:29.556621
w2fr35yzivo,woman,44,16,>100k,4,90,10,2,G1,2,50,50,2021-12-13 21:47:29.556621
w2fr35yzivo,woman,44,16,>100k,4,90,10,3,G2,3,33,67,2021-12-13 21:47:29.556621
w2fr35yzivo,woman,44,16,>100k,4,90,10,4,G11,3,50,50,2021-12-13 21:47:29.556621
w2fr35yzivo,woman,44,16,>100k,4,90,10,5,L10,3,30,70,2021-12-13 21:47:29.556621
w2fr35yzivo,woman,44,16,>100k,4,90,10,6,G9,2,50,50,2021-12-13 21:47:29.556621
w2fr35yzivo,woman,44,16,>100k,4,90,10,7,L1,3,66,34,2021-12-13 21:47:29.556621
w2fr35yzivo,woman,44,16,>100k,4,90,10,8,L11,3,43,57,2021-12-13 21:47:29.556621
w2fr35yzivo,woman,44,16,>100k,4,90,10,9,G5,3,50,50,2021-12-13 21:47:29.556621
w2fr35yzivo,woman,44,16,>100k,4,90,10,10,L2,3,67,33,2021-12-13 21:47:29.556621
w8pl35yzq8t,woman,48,14,20to40k,4,94,6,1,G5,0,38,62,2021-12-13 21:35:09.773340
w8pl35yzq8t,woman,48,14,20to40k,4,94,6,2,G2,3,47,53,2021-12-13 21:35:09.773340
w8pl35yzq8t,woman,48,14,20to40k,4,94,6,3,G11,1,31,69,2021-12-13 21:35:09.773340
w8pl35yzq8t,woman,48,14,20to40k,4,94,6,4,L1,2,48,52,2021-12-13 21:35:09.773340
w8pl35yzq8t,woman,48,14,20to40k,4,94,6,5,G9,1,60,40,2021-12-13 21:35:09.773340
w8pl35yzq8t,woman,48,14,20to40k,4,94,6,6,L10,2,73,27,2021-12-13 21:35:09.773340
w8pl35yzq8t,woman,48,14,20to40k,4,94,6,7,L11,1,29,71,2021-12-13 21:35:09.773340
w8pl35yzq8t,woman,48,14,20to40k,4,94,6,8,L5,2,40,60,2021-12-13 21:35:09.773340
w8pl35yzq8t,woman,48,14,20to40k,4,94,6,9,G1,2,49,51,2021-12-13 21:35:09.773340
w8pl35yzq8t,woman,48,14,20to40k,4,94,6,10,L2,2,35,65,2021-12-13 21:35:09.773340
3emq35yzdng,man,28,18,60to80k,4,97,3,1,L5,4,50,50,2021-12-13 21:48:41.350317
3emq35yzdng,man,28,18,60to80k,4,97,3,2,L11,3,70,30,2021-12-13 21:48:41.350317
3emq35yzdng,man,28,18,60to80k,4,97,3,3,L1,0,50,50,2021-12-13 21:48:41.350317
