subject,gender,age,education,income,dummyconf,dummyxprob,dummyyprob,trialn,vignette,conf,xprob,yprob
r3qk35yzypw,man,54,16,<20k,3,77,23,3,G2,3,30,70
r3qk35yzypw,man,54,16,<20k,3,77,23,4,L10,1,39,61
r3qk35yzypw,man,54,16,<20k,3,77,23,5,L11,1,40,60
r3qk35yzypw,man,54,16,<20k,3,77,23,6,G9,3,50,50
r3qk35yzypw,man,54,16,<20k,3,77,23,7,L2,3,25,75
r3qk35yzypw,man,54,16,<20k,3,77,23,8,G11,3,50,50
r3qk35yzypw,man,54,16,<20k,3,77,23,9,L5,3,98,2
r3qk35yzypw,man,54,16,<20k,3,77,23,10,G1,3,10,90
9twb35yzeie,woman,57,14,<20k,3,85,15,1,G5,0,50,50
9twb35yzeie,woman,57,14,<20k,3,85,15,2,L1,2,50,50
9twb35yzeie,woman,57,14,<20k,3,85,15,3,L10,0,40,60
9twb35yzeie,woman,57,14,<20k,3,85,15,4,G2,1,40,60
9twb35yzeie,woman,57,14,<20k,3,85,15,5,G9,0,50,50
9twb35yzeie,woman,57,14,<20k,3,85,15,6,G1,0,50,50
9twb35yzeie,woman,57,14,<20k,3,85,15,7,G11,0,50,50
9twb35yzeie,woman,57,14,<20k,3,85,15,8,L11,0,35,65
9twb35yzeie,woman,57,14,<20k,3,85,15,9,L5,0,50,50
9twb35yzeie,woman,57,14,<20k,3,85,15,10,L2,0,60,40
s0sz35yz4up,man,53,16,>100k,3,80,20,1,G9,2,50,50
s0sz35yz4up,man,53,16,>100k,3,80,20,2,G1,2,40,60
s0sz35yz4up,man,53,16,>100k,3,80,20,3,L5,2,50,50
s0sz35yz4up,man,53,16,>100k,3,80,20,4,L2,3,30,70
s0sz35yz4up,man,53,16,>100k,3,80,20,5,G11,3,50,50
s0sz35yz4up,man,53,16,>100k,3,80,20,6,L11,3,55,45
s0sz35yz4up,man,53,16,>100k,3,80,20,7,L10,3,20,80
s0sz35yz4up,man,53,16,>100k,3,80,20,8,G2,2,35,65
s0sz35yz4up,man,53,16,>100k,3,80,20,9,L1,3,45,55
s0sz35yz4up,man,53,16,>100k,3,80,20,10,G5,3,55,45
dbwk35yz24h,man,36,12,20to40k,3,80,20,1,L11,3,20,80
dbwk35yz24h,man,36,12,20to40k,3,80,20,2,G1,4,50,50
dbwk35yz24h,man,36,12,20to40k,3,80,20,3,G5,4,50,50
dbwk35yz24h,man,36,12,20to40k,3,80,20,4,L2,4,50,50
dbwk35yz24h,man,36,12,20to40k,3,80,20,5,G9,4,50,50
dbwk35yz24h,man,36,12,20to40k,3,80,20,6,L1,4,50,50
dbwk35yz24h,man,36,12,20to40k,3,80,20,7,L5,4,50,50
dbwk35yz24h,man,36,12,20to40k,3,80,20,8,G11,4,50,50
dbwk35yz24h,man,36,12,20to40k,3,80,20,9,G2,4,50,50
dbwk35yz24h,man,36,12,20to40k,3,80,20,10,L10,4,50,50
1ewa35yzmvv,man,34,16,40to60K,4,95,5,1,L1,0,50,50
1ewa35yzmvv,man,34,16,40to60K,4,95,5,2,G5,0,50,50
1ewa35yzmvv,man,34,16,40to60K,4,95,5,3,L10,0,45,55
1ewa35yzmvv,man,34,16,40to60K,4,95,5,4,L11,1,30,70
1ewa35yzmvv,man,34,16,40to60K,4,95,5,5,L2,2,25,75
1ewa35yzmvv,man,34,16,40to60K,4,95,5,6,G11,2,50,50
1ewa35yzmvv,man,34,16,40to60K,4,95,5,7,G9,0,50,50
1ewa35yzmvv,man,34,16,40to60K,4,95,5,8,G1,0,50,50
1ewa35yzmvv,man,34,16,40to60K,4,95,5,9,L5,0,50,50
1ewa35yzmvv,man,34,16,40to60K,4,95,5,10,G2,2,30,70
udyn35yz8ir,woman,44,17,>100k,3,85,15,1,L5,3,50,50
udyn35yz8ir,woman,44,17,>100k,3,85,15,2,L1,2,90,10
udyn35yz8ir,woman,44,17,>100k,3,85,15,3,G2,3,95,5
udyn35yz8ir,woman,44,17,>100k,3,85,15,4,L11,3,5,95
udyn35yz8ir,woman,44,17,>100k,3,85,15,5,G9,2,50,50
udyn35yz8ir,woman,44,17,>100k,3,85,15,6,L10,3,1,99
udyn35yz8ir,woman,44,17,>100k,3,85,15,7,G1,3,1,99
udyn35yz8ir,woman,44,17,>100k,3,85,15,8,G5,3,50,50
udyn35yz8ir,woman,44,17,>100k,3,85,15,9,G11,3,50,50
udyn35yz8ir,woman,44,17,>100k,3,85,15,10,L2,3,3,97
s5wg35yzdfv,man,25,17,<20k,4,100,0,1,G11,3,50,50
s5wg35yzdfv,man,25,17,<20k,4,100,0,2,G2,3,25,75
s5wg35yzdfv,man,25,17,<20k,4,100,0,3,L11,3,20,80
